input,probability,response__possible_conditions__001,response__possible_conditions__002,response__possible_conditions__003,response__possible_conditions__004,response__urgency,response__common_age_groups,response__immediate_actions,response__precautions,response__potential_treatments__001,response__potential_treatments__002,response__potential_treatments__003,response__potential_treatments__004,response__medications__001,response__medications__002,response__medications__003,response__medications__004,response__lifestyle_changes
My elderly parent has a fever of 99Â°F (37.2Â°C) and seems confused,0.49906941,Urinary tract infection,Pneumonia,Sepsis,Medication side effect,High - Seek immediate medical attention,Elderly (65 years and older),Contact emergency services or go to the emergency room,"Monitor breathing and consciousness, prevent falls",Urinalysis,Blood cultures,Chest X-ray,Cognitive assessment,Antibiotics,Intravenous fluids,Acetaminophen,,"Ensure proper hydration, maintain good personal hygiene"
I have a fever of 100.5Â°F (38.1Â°C) and a rash on my body,0.497028942,Viral exanthem,Scarlet fever,Measles,Drug reaction,Moderate to High - Seek medical attention within 24 hours,Children and young adults,"Take photos of the rash, avoid scratching, stay hydrated","Isolate to prevent spread, avoid sharing personal items",Physical examination,Skin swab,Blood tests,,Antihistamines,Acetaminophen,Topical lotions,,"Wear loose, breathable clothing, maintain vaccination schedule"
I have a fever of 102Â°F (38.9Â°C) after recent travel to a tropical country,0.494988474,Malaria,Dengue fever,Typhoid fever,Yellow fever,High - Seek immediate medical attention,All age groups who have traveled to endemic areas,"Go to the emergency room, bring travel history details","Use mosquito protection, avoid further mosquito exposure",Blood smear for parasites,Dengue antigen test,Blood cultures,,Antimalarials,Antipyretics,Antibiotics (if bacterial),,"Use insect repellent, sleep under mosquito nets in endemic areas"
I have a fever of 100Â°F (37.8Â°C) and pain when urinating,0.492948006,Urinary tract infection,Kidney infection,Sexually transmitted infection,,Moderate - Seek medical attention within 24-48 hours,"Adults, especially women","Increase fluid intake, especially water","Avoid alcohol and caffeine, use bathroom frequently",Urinalysis,Urine culture,STI testing,,Antibiotics,Analgesics,Urinary pain relievers,,"Practice good hygiene, urinate after sexual activity, stay hydrated"
"I have a red, itchy rash on my arms and legs",0.490907539,Eczema,Contact dermatitis,Hives,Allergic reaction,Low to Moderate - Seek medical attention if symptoms persist or worsen,All age groups,"Apply cool compress, avoid scratching, identify potential triggers","Avoid harsh soaps and hot water, wear loose clothing",Patch testing,Skin examination,Allergy testing,,Topical corticosteroids,Antihistamines,Moisturizers,,"Use fragrance-free products, identify and avoid allergens"
I have a mole that has changed color and size,0.488867071,Melanoma,Dysplastic nevus,Benign mole growth,,High - Seek medical attention promptly,"Adults, especially those over 50","Take clear photos of the mole, document changes","Avoid sun exposure, do not attempt to remove it yourself",Dermatologist examination,Biopsy,Mole mapping,,None specifically for moles,,,,"Regular skin self-exams, use sunscreen, avoid tanning beds"
"I have small, red bumps on my face that look like acne",0.486826603,Acne vulgaris,Rosacea,Folliculitis,Perioral dermatitis,Low - Schedule an appointment with a dermatologist,Teenagers and young adults,"Gently cleanse the area, avoid picking or popping","Avoid oil-based products, remove makeup before sleeping",Skin examination,Comedone extraction,Topical treatments,,Benzoyl peroxide,Salicylic acid,Topical antibiotics,,"Use non-comedogenic products, maintain a healthy diet"
"I have a painful, red swelling on my leg",0.484786135,Cellulitis,Abscess,Insect bite reaction,Deep vein thrombosis,Moderate to High - Seek medical attention within 24 hours,All age groups,"Elevate the affected limb, apply cool compress","Monitor for fever or spreading redness, avoid tight clothing",Physical examination,Blood tests,Ultrasound (if DVT suspected),,Antibiotics,Pain relievers,Anticoagulants (if DVT),,"Practice good hygiene, treat any skin injuries promptly"
"I have dry, scaly patches on my scalp",0.482745667,Seborrheic dermatitis,Psoriasis,Tinea capitis,Eczema,Low - Schedule an appointment with a dermatologist,"Adults, but can occur in infants (cradle cap)","Avoid scratching, use gentle shampoo",Avoid hair products with harsh chemicals,Scalp examination,Skin scraping for fungal testing,,,Medicated shampoos,Topical corticosteroids,Antifungal medications,,"Manage stress, use a humidifier, maintain a healthy diet"
I have blisters on my hands and feet,0.480705199,Dyshidrotic eczema,Hand-foot-mouth disease,Contact dermatitis,Scabies,Moderate - Seek medical attention if symptoms worsen or don't improve,"Adults for dyshidrotic eczema, children for hand-foot-mouth disease","Keep the area clean and dry, avoid popping blisters","Wear gloves for wet work, avoid direct contact if infectious",Skin examination,Patch testing,Viral testing (if HFM suspected),,Topical corticosteroids,Antihistamines,Antiviral medications (if viral),,"Identify and avoid triggers, maintain good hand hygiene"
I have a circular rash with a bull's-eye pattern,0.478664731,Lyme disease,Ringworm,Granuloma annulare,Erythema migrans,High - Seek medical attention promptly,"All age groups, more common in those who spend time outdoors","Take a clear photo of the rash, check for tick presence","Avoid scratching, monitor for flu-like symptoms",Blood tests for Lyme disease,Skin scraping for fungal infection,,,Antibiotics (for Lyme disease),Antifungal medications (for ringworm),,,"Use tick repellent, perform tick checks after outdoor activities"
"I have yellow, thickened toenails",0.476624264,Onychomycosis (fungal nail infection),Psoriasis of the nails,Yellow nail syndrome,,Low - Schedule an appointment with a podiatrist or dermatologist,"Adults, especially older adults","Keep nails clean and dry, trim nails straight across","Wear breathable footwear, avoid walking barefoot in public areas",Nail clipping for lab testing,Nail bed examination,,,Oral antifungal medications,Topical antifungal treatments,,,"Practice good foot hygiene, wear moisture-wicking socks"
I have a fever of 101Â°F (38.3Â°C) and a sore throat,0.474583796,Strep throat,Viral pharyngitis,Tonsillitis,Infectious mononucleosis,Moderate - Seek medical attention if symptoms persist for more than 2-3 days,Children and young adults,"Rest, gargle with warm salt water, stay hydrated","Avoid sharing utensils or drinks, wash hands frequently",Throat swab,Rapid strep test,Blood test for mononucleosis,,Acetaminophen,Ibuprofen,Antibiotics (if bacterial),,"Avoid irritants like smoking, use a humidifier"
I'm running a fever of 102Â°F (38.9Â°C) with body aches and fatigue,0.472543328,Influenza,COVID-19,Dengue fever,Lyme disease,"Moderate to High - Seek medical attention, especially if symptoms are severe",All age groups,"Rest, stay hydrated, isolate to prevent spread",Monitor for difficulty breathing or chest pain,Flu test,COVID-19 test,Blood tests,,Acetaminophen,Ibuprofen,Antiviral medications (if prescribed),,"Get vaccinated against flu and COVID-19, practice good hygiene"
My child has a fever of 103Â°F (39.4Â°C) and is refusing to eat or drink,0.47050286,Severe viral infection,Bacterial infection,Appendicitis,Meningitis,High - Seek immediate medical attention,Children under 5 years old,"Try to keep the child hydrated, seek emergency care","Monitor for signs of dehydration, lethargy, or unusual behavior",Physical examination,Blood tests,Urine analysis,Imaging studies,Acetaminophen,Ibuprofen (if over 6 months),Antibiotics (if bacterial),,Ensure regular check-ups and vaccinations
I have a low-grade fever of 99.5Â°F (37.5Â°C) and feel extremely tired,0.468462392,Viral infection,Chronic fatigue syndrome,Thyroid disorder,Depression,Low to Moderate - Schedule an appointment with your doctor,Adults,"Rest, stay hydrated, monitor symptoms","Avoid overexertion, get adequate sleep",Physical examination,Blood tests,Thyroid function tests,,Acetaminophen (if needed for comfort),,,,"Manage stress, maintain a balanced diet, regular exercise"
I'm experiencing chills and a fever of 101Â°F (38.3Â°C) after a tick bite,0.466421924,Lyme disease,Rocky Mountain spotted fever,Ehrlichiosis,Babesiosis,High - Seek medical attention promptly,"All age groups, especially those who spend time outdoors","Remove tick if still attached, save it for identification","Check for any rashes, especially bull's-eye pattern",Blood tests,Antibody tests,Tick identification,,Doxycycline,Amoxicillin,Cefuroxime,,"Use tick repellent, perform tick checks after outdoor activities"
I have a fever of 100Â°F (37.8Â°C) and diarrhea,0.464381457,Gastroenteritis,Food poisoning,Salmonella infection,Viral infection,Moderate - Seek medical attention if symptoms persist or worsen,All age groups,"Stay hydrated, rest, eat bland foods","Practice good hand hygiene, avoid preparing food for others",Stool culture,Blood tests,Electrolyte panel,,Oral rehydration solutions,Loperamide (for adults),Probiotics,,"Practice food safety, wash hands frequently"
I'm running a fever of 101Â°F (38.3Â°C) with a runny nose and congestion,0.462340989,Common cold,Sinusitis,Influenza,COVID-19,Low to Moderate - Monitor symptoms and rest at home,All age groups,"Rest, stay hydrated, use saline nasal spray","Cover mouth when coughing/sneezing, isolate to prevent spread",Nasal swab for flu/COVID,Physical examination,,,Decongestants,Acetaminophen,Ibuprofen,,"Use a humidifier, avoid irritants like smoke"
I have a fever of 102Â°F (38.9Â°C) and pain in my lower back,0.460300521,Kidney infection,Pyelonephritis,Prostatitis,Vertebral osteomyelitis,High - Seek medical attention promptly,"Adults, especially women for UTIs","Drink plenty of water, use a heating pad on low setting","Monitor urine output and color, avoid alcohol and caffeine",Urinalysis,Blood cultures,Imaging studies (CT or ultrasound),,Antibiotics,Pain relievers,Antipyretics,,"Practice good hygiene, stay hydrated, void bladder regularly"
My toddler has a fever of 101Â°F (38.3Â°C) and is pulling at their ears,0.458260053,Otitis media (ear infection),Teething,Upper respiratory infection,,Moderate - Seek medical attention within 24 hours,Children under 3 years old,"Comfort the child, offer fluids, monitor temperature",Watch for signs of severe pain or discharge from ears,Ear examination,Tympanometry,,,Acetaminophen,Ibuprofen (if over 6 months),Antibiotics (if bacterial),,"Avoid secondhand smoke, practice good hygiene"
I have a fever of 100Â°F (37.8Â°C) and a rash on my chest and back,0.456219585,Scarlet fever,Chickenpox,Roseola,Drug allergy,Moderate - Seek medical attention within 24 hours,"Children for scarlet fever and chickenpox, adults for drug allergies","Take photos of the rash, avoid scratching","Isolate if contagious, avoid sharing personal items",Skin examination,Throat culture (for scarlet fever),Allergy tests,,Antihistamines,Acetaminophen,Antibiotics (for bacterial infections),,"Practice good hygiene, complete full course of prescribed medications"
I'm experiencing alternating fever and chills with joint pain,0.454179117,Malaria,Lyme disease,Rheumatoid arthritis flare,Systemic lupus erythematosus,High - Seek medical attention promptly,"Adults, especially those with travel history or autoimmune conditions","Rest, stay hydrated, record temperature fluctuations","If recent travel, inform healthcare provider",Blood tests,Malaria smear,Autoimmune panels,,Antimalarials,NSAIDs,Disease-modifying antirheumatic drugs (if autoimmune),,"Use insect repellent in endemic areas, manage stress for autoimmune conditions"
I have a fever of 101Â°F (38.3Â°C) and difficulty swallowing,0.452138649,Strep throat,Epiglottitis,Peritonsillar abscess,Infectious mononucleosis,High - Seek medical attention promptly,"All age groups, more common in children and young adults","Gargle with warm salt water, stay hydrated with cool liquids",Watch for difficulty breathing or drooling,Throat examination,Throat culture,Blood tests,,Antibiotics (if bacterial),Pain relievers,Steroids (in some cases),,"Avoid irritants like smoking, rest voice"
I'm running a fever of 99.5Â°F (37.5Â°C) with nausea and loss of appetite,0.450098182,Gastroenteritis,Early stage of hepatitis,Food poisoning,Appendicitis,Moderate - Monitor symptoms and seek medical attention if worsening,All age groups,"Rest, stay hydrated with small sips of water or electrolyte solutions","Watch for signs of dehydration, monitor stool color",Physical examination,Blood tests,Stool culture,,Antiemetics,Acetaminophen,Probiotics,,"Practice food safety, maintain good hand hygiene"
My elderly parent has a low-grade fever and seems confused,0.448057714,Urinary tract infection,Pneumonia,Sepsis,Medication side effect,High - Seek immediate medical attention,Elderly (65 years and older),"Ensure safety, seek emergency care","Monitor breathing and consciousness, prevent falls",Urinalysis,Blood cultures,Chest X-ray,Cognitive assessment,Antibiotics,Intravenous fluids,Acetaminophen,,"Ensure proper hydration, maintain good personal hygiene"
I have a fever of 100Â°F (37.8Â°C) and a persistent dry cough,0.446017246,COVID-19,Bronchitis,Pneumonia,Pertussis (whooping cough),Moderate to High - Contact healthcare provider for guidance,All age groups,"Isolate, rest, stay hydrated","Monitor for difficulty breathing, wear a mask if around others",COVID-19 test,Chest X-ray,Sputum culture,,Cough suppressants,Acetaminophen,Antiviral medications (if prescribed),,"Practice respiratory hygiene, avoid smoking"
I'm experiencing fever and severe headache with sensitivity to light,0.443976778,Migraine with fever,Meningitis,Encephalitis,Subarachnoid hemorrhage,High - Seek immediate medical attention,"Adults, but can occur in any age group","Rest in a dark, quiet room, seek emergency care","Monitor for neck stiffness, confusion, or severe pain",Neurological examination,Lumbar puncture,CT or MRI scan,,Pain relievers,Antibiotics (if bacterial),Antivirals (if viral),,"Identify and avoid migraine triggers, manage stress"
My child has a fever of 102Â°F (38.9Â°C) and is complaining of leg pain,0.44193631,Growing pains with coincidental fever,Juvenile idiopathic arthritis,Osteomyelitis,Leukemia,Moderate to High - Seek medical attention promptly,Children and adolescents,"Rest, apply warm compress to painful areas","Monitor for swelling, redness, or inability to bear weight",Physical examination,Blood tests,"Imaging studies (X-ray, MRI)",,Acetaminophen,Ibuprofen,Antibiotics (if infection suspected),,"Ensure proper nutrition, regular exercise when healthy"
My eyes feel itchy and irritated,0.439895842,Allergic conjunctivitis,Dry eye syndrome,Blepharitis,Environmental irritants,"Low - Try home remedies first, seek medical attention if persistent",All age groups,"Avoid rubbing, use artificial tears, cool compress","Wash hands frequently, avoid known allergens",Allergy testing,Tear film evaluation,,,Antihistamine eye drops,Lubricating eye drops,,,"Use air filters, wear sunglasses outdoors"
I'm seeing flashes of light in my vision,0.437855374,Retinal detachment,Migraine with aura,Posterior vitreous detachment,,High - Seek immediate eye care,"Adults over 40, but can occur in any age group","Rest eyes, avoid strenuous activity",Monitor for sudden increase in floaters or vision loss,Dilated eye exam,Retinal imaging,,,Depends on diagnosis,,,,"Regular eye check-ups, wear protective eyewear"
My eyes are red and feel gritty,0.435814907,Dry eye syndrome,Conjunctivitis,Blepharitis,Computer vision syndrome,Low to Moderate - Seek care if symptoms persist,"Adults, especially those who use digital devices frequently","Use artificial tears, take screen breaks",Avoid sharing towels or makeup,Tear film evaluation,Meibomian gland assessment,,,Lubricating eye drops,Antibiotic eye drops if bacterial,,,"Practice the 20-20-20 rule, maintain good eye hygiene"
I have a stye on my eyelid,0.433774439,Hordeolum (stye),Chalazion,,,Low - Can often be treated at home,All age groups,Apply warm compresses several times a day,"Avoid squeezing or popping, don't wear eye makeup",Eyelid hygiene,Drainage if large or persistent,,,Antibiotic ointment if prescribed,,,,"Practice good eyelid hygiene, remove eye makeup nightly"
My vision is blurry when I look at distant objects,0.431733971,Myopia (nearsightedness),Astigmatism,Early cataract,,Moderate - Schedule an eye exam,"Can occur at any age, often develops in childhood or teens","Avoid straining eyes, take breaks when doing close-up work",Don't drive if vision significantly impaired,Comprehensive eye exam,Refraction test,,,N/A - corrective lenses usually prescribed,,,,"Regular eye check-ups, limit screen time"
I have difficulty seeing at night while driving,0.429693503,Night blindness,Cataracts,Vitamin A deficiency,Glaucoma,Moderate - Schedule an eye exam soon,"Adults, especially over 40",Avoid night driving until examined,Use extra caution in low light conditions,Comprehensive eye exam,Visual field test,,,Depends on underlying cause,,,,"Ensure adequate vitamin A intake, regular eye check-ups"
"My eyes water excessively, especially outdoors",0.427653035,Allergic conjunctivitis,Blocked tear duct,Dry eye syndrome,Wind or environmental irritants,Low - Try home remedies first,All age groups,"Wear wraparound sunglasses outdoors, use artificial tears","Avoid rubbing eyes, wash hands frequently",Allergy testing,Tear duct examination,,,Antihistamine eye drops,Lubricating eye drops,,,"Use air filters indoors, avoid known allergens"
I see dark spots or squiggly lines floating in my vision,0.425612567,Floaters,Posterior vitreous detachment,Retinal tear,,"Moderate - Schedule an eye exam, urgent if sudden increase",More common in adults over 50,"Rest eyes, avoid straining",Monitor for flashes of light or vision loss,Dilated eye exam,Retinal imaging,,,Usually not required for floaters alone,,,,"Regular eye check-ups, wear protective eyewear"
My eyelid is drooping,0.423572099,Ptosis,Myasthenia gravis,Horner's syndrome,Bell's palsy,Moderate to High - Seek medical attention promptly,Can occur at any age,"Document when you first noticed it, any associated symptoms","If sudden onset, consider it urgent",Neurological examination,Blood tests,Imaging studies,,Depends on underlying cause,,,,"Regular eye check-ups, follow medical advice"
I have a burning sensation in my eyes,0.421531632,Dry eye syndrome,Blepharitis,Allergic reaction,Chemical irritation,Low to Moderate - Seek care if persistent or painful,"Adults, especially those in dry or polluted environments","Rinse eyes with saline solution, use artificial tears","Avoid rubbing eyes, remove contact lenses if worn",Tear film evaluation,Allergy testing,,,Lubricating eye drops,Antihistamine drops if allergic,,,"Use a humidifier, take regular screen breaks"
My eyes feel strained after using the computer,0.419491164,Computer vision syndrome,Dry eye syndrome,Uncorrected refractive error,,"Low - Try home remedies, seek care if persistent",Adults and children who use digital devices frequently,"Take regular breaks, adjust screen settings",Ensure proper lighting and ergonomics,Comprehensive eye exam,Ergonomic assessment,,,Lubricating eye drops,,,,"Practice the 20-20-20 rule, consider blue light filtering"
I'm seeing double,0.417450696,Strabismus,Cranial nerve palsy,Myasthenia gravis,Brain lesion,High - Seek immediate medical attention,Can occur at any age,"Cover one eye to alleviate symptoms, avoid driving",Monitor for other neurological symptoms,Neurological examination,Imaging studies (CT or MRI),,,Depends on underlying cause,,,,"Follow medical advice, regular follow-ups"
My eyes are sensitive to light,0.415410228,Migraine,Uveitis,Corneal abrasion,Dry eye syndrome,Moderate - Seek care if severe or persistent,All age groups,"Rest in a dark room, wear sunglasses",Avoid bright lights and screens,Comprehensive eye exam,Neurological evaluation if migraines suspected,,,Lubricating drops,Pain relievers if needed,,,"Use screen filters, consider tinted lenses"
I have a yellow tinge in the white part of my eyes,0.41336976,Jaundice,Liver disease,Gallbladder issues,Hepatitis,High - Seek medical attention promptly,Can occur at any age,"Document when you first noticed it, check skin color",Avoid alcohol and fatty foods,Liver function tests,Abdominal ultrasound,,,Depends on underlying cause,,,,"Follow a liver-healthy diet, avoid alcohol"
My eyelid is twitching frequently,0.411329292,Benign essential blepharospasm,Stress,Caffeine sensitivity,Fatigue,Low - Usually resolves on its own,"Adults, especially those under stress","Get adequate rest, reduce caffeine intake","If persistent or spreading to other facial muscles, seek care",Stress management techniques,Nutritional assessment,,,Usually not required,,,,"Improve sleep habits, manage stress, limit caffeine"
I have difficulty focusing on near objects,0.409288824,Presbyopia,Hyperopia (farsightedness),Accommodative dysfunction,,Low - Schedule a routine eye exam,"Adults over 40 for presbyopia, can occur at any age",Hold reading material farther away,"Avoid eye strain, take frequent breaks",Comprehensive eye exam,Refraction test,,,N/A - corrective lenses usually prescribed,,,,"Regular eye check-ups, proper lighting for close work"
My eyes feel dry and scratchy when I wake up,0.407248357,Nocturnal lagophthalmos,Dry eye syndrome,Exposure keratopathy,,Low to Moderate - Seek care if persistent,"Adults, especially those who sleep with eyes partially open","Use artificial tears upon waking, humidify bedroom","Avoid rubbing eyes, use an eye mask if recommended",Sleep study,Tear film evaluation,,,Lubricating eye drops,Nighttime ointments,,,"Use a humidifier, consider adjusting sleep position"
I see a dark curtain or shadow in my peripheral vision,0.405207889,Retinal detachment,Vitreous hemorrhage,Ocular migraine,,Very High - Seek immediate emergency eye care,"More common in adults over 50, but can occur at any age","Minimize eye movement, seek emergency care",Avoid strenuous activity or heavy lifting,Emergency retinal examination,Possible surgical intervention,,,Depends on diagnosis and treatment plan,,,,"Regular dilated eye exams, wear protective eyewear"
My eyes are constantly red,0.403167421,Chronic dry eye,Allergic conjunctivitis,Ocular rosacea,Meibomian gland dysfunction,Moderate - Schedule an eye exam,"Adults, especially in dry or polluted environments","Use artificial tears, cool compresses","Avoid rubbing eyes, limit contact lens wear",Tear film evaluation,Meibomian gland assessment,,,Lubricating drops,Anti-inflammatory drops if prescribed,,,"Proper eyelid hygiene, manage environmental factors"
I have difficulty distinguishing between colors,0.401126953,Color vision deficiency,Cataracts,Optic nerve disorders,,Low to Moderate - Schedule an eye exam,"Congenital color blindness often noticed in childhood, other causes in adults",Note specific colors that are difficult to distinguish,Be cautious with tasks requiring color discrimination,Color vision testing,Comprehensive eye exam,,,"N/A for congenital color blindness, may vary for other causes",,,,Use apps or tools to assist with color identification if needed
My eyes feel like they're bulging out,0.399086485,Graves' disease,Hyperthyroidism,Orbital inflammatory disease,,High - Seek medical attention promptly,"Adults, especially women between 30-50","Document when you first noticed it, any associated symptoms","Protect eyes from dryness, avoid smoking",Thyroid function tests,Orbital imaging,,,Depends on underlying cause,,,,"Quit smoking, manage stress, follow endocrinologist's advice"
I have a persistent red spot on the white of my eye,0.397046017,Subconjunctival hemorrhage,Pinguecula,Pterygium,Episcleritis,Low to Moderate - Seek care if persistent or painful,"Adults, more common in those with eye irritants or UV exposure","Avoid rubbing the eye, use artificial tears","Protect eyes from further irritation, wear sunglasses outdoors",Slit lamp examination,Ocular surface evaluation,,,"Lubricating drops, anti-inflammatory drops if prescribed",,,,"Wear UV-protective sunglasses, reduce exposure to irritants"
My vision is blurry in one eye,0.395005549,Refractive error,Cataract,Macular degeneration,Retinal detachment,High - Seek prompt eye care,"Can occur at any age, more common in older adults","Cover the affected eye, then the unaffected eye to compare vision","Avoid straining the affected eye, don't drive if significantly impaired",Comprehensive eye exam,Dilated fundus examination,,,Depends on underlying cause,,,,"Regular eye check-ups, protective eyewear for sports/work"
I see halos around lights at night,0.392965082,Cataracts,Glaucoma,Corneal edema,Uncorrected refractive error,Moderate - Schedule an eye exam soon,More common in adults over 40,Use caution when driving at night,Monitor for any changes in vision,Comprehensive eye exam,Intraocular pressure check,,,Depends on underlying cause,,,,"Regular eye exams, especially if you have risk factors for eye disease"
My eyes feel gritty and burn when I wake up,0.390924614,Dry eye syndrome,Nocturnal lagophthalmos,Blepharitis,,"Low to Moderate - Try home remedies, seek care if persistent","Adults, especially those who use screens frequently or sleep with eyes partially open","Apply warm compress, use artificial tears","Avoid rubbing eyes, maintain good eyelid hygiene",Tear film evaluation,Meibomian gland assessment,,,Lubricating eye drops,Eyelid cleansers,,,"Use a humidifier, practice the 20-20-20 rule for screen use"
I have difficulty seeing colors as vividly as before,0.388884146,Cataracts,Optic nerve disorders,Vitamin A deficiency,,Moderate - Schedule an eye exam,More common in older adults,"Note changes in color perception, especially with familiar objects",Be cautious in situations requiring accurate color perception,Color vision testing,Comprehensive eye exam,,,Depends on underlying cause,,,,"Ensure a balanced diet rich in vitamins, regular eye check-ups"
My eyelashes are falling out,0.386843678,Blepharitis,Alopecia areata,Trichotillomania,Thyroid disorders,Low to Moderate - Seek care if persistent or associated with other symptoms,Can occur at any age,"Gentle eyelid hygiene, avoid using eye makeup","Don't pull on eyelashes, avoid eyelash extensions",Microscopic eyelid examination,Thyroid function tests,,,"Eyelid cleansers, possible antibiotics or anti-inflammatories",,,,"Maintain good eyelid hygiene, manage stress if relevant"
I see zigzag lines in my vision,0.38480321,Ocular migraine,Retinal detachment,Visual aura,,Moderate to High - Seek prompt medical attention,"Adults, especially those with a history of migraines","Rest in a quiet, dark room, note duration and associated symptoms",Avoid driving or operating machinery during an episode,Neurological examination,Dilated eye exam,,,Migraine medications if diagnosed,,,,"Identify and avoid migraine triggers, manage stress"
My eyes constantly feel like they have something in them,0.382762742,Dry eye syndrome,Corneal abrasion,Foreign body,Conjunctivitis,Moderate - Seek care if persistent or painful,Can occur at any age,"Rinse eyes with sterile saline solution, blink frequently","Avoid rubbing eyes, remove contact lenses if worn",Slit lamp examination,Fluorescein staining,,,Lubricating eye drops,Antibiotic drops if infection present,,,"Use protective eyewear in dusty environments, regular eye hygiene"
I have difficulty focusing when reading,0.380722274,Presbyopia,Accommodative dysfunction,Convergence insufficiency,,Low - Schedule a routine eye exam,"Adults over 40 for presbyopia, can occur at any age","Use good lighting, take frequent breaks",Avoid prolonged near work without breaks,Comprehensive eye exam,Reading glasses prescription,,,N/A - corrective lenses usually prescribed,,,,"Practice the 20-20-20 rule, maintain proper reading distance"
"My eyes are constantly watery, even indoors",0.378681807,Blocked tear duct,Dry eye syndrome,Allergic conjunctivitis,,Low to Moderate - Seek care if persistent,"Can occur at any age, more common in older adults","Gently massage the tear duct area, use a warm compress","Avoid rubbing eyes, maintain good eye hygiene",Tear duct irrigation,Tear film evaluation,,,Antihistamine eye drops if allergic,Lubricating drops,,,"Use air filters, avoid known allergens"
I see a small dark spot in the center of my vision,0.376641339,Macular degeneration,Central serous retinopathy,Diabetic retinopathy,,High - Seek prompt eye care,More common in adults over 50,"Use an Amsler grid to monitor changes, avoid straining eyes","Protect eyes from UV light, don't smoke",Dilated fundus examination,OCT imaging,,,Depends on underlying cause and severity,,,,"Eat a diet rich in antioxidants, quit smoking, control blood sugar if diabetic"
My eyes are sensitive to wind and air conditioning,0.374600871,Dry eye syndrome,Ocular surface disease,Blepharitis,,"Low - Try home remedies, seek care if persistent","Adults, especially those in dry environments","Use artificial tears, wear wraparound sunglasses","Avoid direct air flow to eyes, use a humidifier",Tear film evaluation,Meibomian gland assessment,,,Lubricating eye drops,Nighttime ointments,,,"Adjust air vents away from face, increase indoor humidity"
I have difficulty seeing clearly at arm's length,0.372560403,Intermediate vision issues,Early presbyopia,Uncorrected astigmatism,,Low - Schedule a routine eye exam,"Adults, especially those over 40",Adjust lighting and screen distance for comfort,Take regular breaks during computer use,Comprehensive eye exam,Refraction for glasses,,,N/A - corrective lenses usually prescribed,,,,"Maintain proper ergonomics, consider computer glasses"
My eyes feel strained after reading for a short time,0.370519935,Uncorrected refractive error,Binocular vision disorder,Accommodative dysfunction,,Low to Moderate - Schedule an eye exam,Can occur at any age,"Take frequent breaks, use good lighting","Maintain proper reading distance, blink frequently",Comprehensive eye exam,Binocular vision assessment,,,Lubricating eye drops,,,,"Practice the 20-20-20 rule, ensure proper posture while reading"
I see starbursts around lights at night,0.368479467,Astigmatism,Early cataracts,Corneal irregularities,,Moderate - Schedule an eye exam,"Can occur at any age, more common in adults",Use caution when driving at night,Consider reducing night driving if vision significantly impaired,Refraction for glasses,Corneal topography,,,N/A - corrective lenses usually prescribed,,,,"Regular eye exams, consider anti-reflective coating on glasses"
I have a mild headache,0.366438999,Tension headache,Migraine,Dehydration,Eye strain,Low - Monitor and use home remedies,All ages,"Rest in a quiet, dark room, drink plenty of water","Avoid loud noises and bright lights, ensure proper hydration",Physical examination if persistent,Eye exam if eye strain suspected,,,Acetaminophen,Ibuprofen,,,"Maintain proper posture, regular eye breaks if using screens"
I stubbed my toe,0.364398532,Bruise,Sprain,Fracture,,Low to Moderate - Seek medical attention if severe pain or swelling,All ages,"Rest, ice the area, elevate the foot","Avoid putting pressure on the toe, monitor for severe swelling or discoloration",Physical examination,X-ray if fracture suspected,,,Acetaminophen,Ibuprofen,,,"Wear protective footwear, be cautious of surroundings"
I cut my finger,0.362358064,Minor cut,Laceration,,,Low to Moderate - Seek medical attention if deep cut or uncontrolled bleeding,All ages,"Clean the wound with water, apply pressure to stop bleeding, cover with a sterile bandage","Monitor for signs of infection (redness, swelling, pus), avoid using the injured hand",Physical examination,Stitches if deep cut,,,Antibiotic ointment,Acetaminophen,Ibuprofen,,"Use safety tools, keep first aid kit accessible"
I have a sore throat,0.360317596,Viral pharyngitis,Bacterial pharyngitis (strep throat),Allergies,,Low to Moderate - Seek medical attention if severe pain or difficulty swallowing,All ages,"Gargle with warm salt water, stay hydrated, use throat lozenges","Avoid irritants like smoke, rest the voice",Physical examination,Throat culture or rapid strep test if bacterial infection suspected,,,Acetaminophen,Ibuprofen,Antibiotics if bacterial,,"Avoid allergens, practice good hygiene"
I have a sprained ankle,0.358277128,Ankle sprain,Ligament tear,,,Low to Moderate - Seek medical attention if unable to bear weight or severe swelling,All ages,"Rest, ice the area, compress with a bandage, elevate the ankle","Avoid putting weight on the ankle, monitor for severe swelling or bruising",Physical examination,X-ray or MRI if severe,,,Acetaminophen,Ibuprofen,,,"Wear supportive footwear, perform ankle-strengthening exercises"
I have a stomach ache,0.35623666,Indigestion,Gastroenteritis,Food poisoning,Irritable bowel syndrome,Low to Moderate - Seek medical attention if severe pain or persistent symptoms,All ages,"Rest, drink clear fluids, avoid solid foods for a few hours","Avoid caffeine, alcohol, and spicy foods",Physical examination,Blood tests if persistent or severe,,,Antacids,Anti-nausea medications,,,"Eat smaller, more frequent meals, avoid known triggers"
